format_id,waive,setup_warning,warning,error,fatal
NLDM_NLPM_OCV~synopsys~NLDM-NLPM-OCV~ip764hduspsr2048x39m8b2s0r2p0d0_tmin_0.55v_0.55v_100c.lib,0,0,0,0,0
NLDM_NLPM_OCV~synopsys~NLDM-NLPM-OCV~ip764hduspsr2048x39m8b2s0r2p0d0_tmin_0.65v_0.65v_-40c.lib,0,0,0,0,0
NLDM_NLPM_OCV~synopsys~NLDM-NLPM-OCV~ip764hduspsr2048x39m8b2s0r2p0d0_tmin_0.65v_0.65v_100c.lib,0,0,0,0,0
NLDM_NLPM_OCV~synopsys~NLDM-NLPM-OCV~ip764hduspsr2048x39m8b2s0r2p0d0_tmin_0.85v_0.85v_-40c.lib,0,0,0,0,0
NLDM_NLPM_OCV~synopsys~NLDM-NLPM-OCV~ip764hduspsr2048x39m8b2s0r2p0d0_tmin_0.85v_0.85v_100c.lib,0,0,0,0,0
NLDM_NLPM_OCV~synopsys~NLDM-NLPM-OCV~ip764hduspsr2048x39m8b2s0r2p0d0_tmin_1.1v_1.1v_-40c.lib,0,0,0,0,0
NLDM_NLPM_OCV~synopsys~NLDM-NLPM-OCV~ip764hduspsr2048x39m8b2s0r2p0d0_tmin_1.1v_1.1v_100c.lib,0,0,0,0,0
NLDM_NLPM_OCV~synopsys~NLDM-NLPM-OCV~ip764hduspsr2048x39m8b2s0r2p0d0_tttt_0.55v_0.55v_100c.lib,0,0,0,0,0
NLDM_NLPM_OCV~synopsys~NLDM-NLPM-OCV~ip764hduspsr2048x39m8b2s0r2p0d0_tttt_0.65v_0.65v_-40c.lib,0,0,0,0,0
NLDM_NLPM_OCV~synopsys~NLDM-NLPM-OCV~ip764hduspsr2048x39m8b2s0r2p0d0_tttt_0.65v_0.65v_100c.lib,0,0,0,0,0
NLDM_NLPM_OCV~synopsys~NLDM-NLPM-OCV~ip764hduspsr2048x39m8b2s0r2p0d0_tttt_0.85v_0.85v_-40c.lib,0,0,0,0,0
NLDM_NLPM_OCV~synopsys~NLDM-NLPM-OCV~ip764hduspsr2048x39m8b2s0r2p0d0_tttt_0.85v_0.85v_100c.lib,0,0,0,0,0
NLDM_NLPM_OCV~synopsys~NLDM-NLPM-OCV~ip764hduspsr2048x39m8b2s0r2p0d0_tttt_1.1v_1.1v_-40c.lib,0,0,0,0,0
NLDM_NLPM_OCV~synopsys~NLDM-NLPM-OCV~ip764hduspsr2048x39m8b2s0r2p0d0_tttt_1.1v_1.1v_100c.lib,0,0,0,0,0
