"id","query","user","given_date","exp_date","exp_seconds","valid_for_milestone","status","conditions","reason"
"1","Zmapped","prbhatt","Wed Apr 11 09:51:20 PDT 2018","31 August 2018","1535698800","","expired","((((cell_name LIKE 'top\\_level' AND net_name LIKE '/div9/div9\\_dop.i\\_ctech\\_lib\\_clk\\_dop\\_div9/vss'))) AND ((1))) && (1)","waived as per wiki"
"2","Zmapped","prbhatt","Wed Apr 11 09:51:49 PDT 2018","31 August 2018","1535698800","","expired","((((cell_name LIKE 'top\\_level' AND net_name LIKE '/div9/div9\\_dop.i\\_ctech\\_lib\\_clk\\_dop\\_div9/vcc'))) AND ((1))) && (1)","waived as per wiki"
"3","Zmapped","prbhatt","Wed Apr 11 09:52:33 PDT 2018","31 August 2018","1535698800","","expired","((((cell_name LIKE 'top\\_level' AND net_name LIKE '/div12/div12\\_dop.i\\_ctech\\_lib\\_clk\\_dop\\_div12/vss'))) AND ((1))) && (1)","waived as per wiki"
"4","Zmapped","prbhatt","Wed Apr 11 09:52:51 PDT 2018","31 August 2018","1535698800","","expired","((((cell_name LIKE 'top\\_level' AND net_name LIKE '/div12/div12\\_dop.i\\_ctech\\_lib\\_clk\\_dop\\_div12/vcc'))) AND ((1))) && (1)","waived as per wiki"
"5","FileNotEmpty","prbhatt","Wed Apr 11 09:53:17 PDT 2018","31 August 2018","1535698800","","expired","((((file_name LIKE 'scripts/block\\_setup.tcl' AND line_number LIKE '%' AND line_content LIKE 'setvar G\\_REF\\_RTL\\_LIST $env(WARD)/collateral/rtl/rtl\\_list\\_2stage.tcl'))) AND ((1))) && (1)","waived as per wiki"
"6","FileNotEmpty","prbhatt","Wed Apr 11 09:53:41 PDT 2018","31 August 2018","1535698800","","expired","((((file_name LIKE 'scripts/block\\_setup.tcl' AND line_number LIKE '%' AND line_content LIKE 'lappend G\\_LEGAL\\_RTL\\_OWNERS \"toolshdk\"'))) AND ((1))) && (1)","waived as per wiki"
"7","FileNotEmpty","prbhatt","Wed Apr 11 09:54:02 PDT 2018","31 August 2018","1535698800","","expired","((((file_name LIKE 'scripts/block\\_setup.tcl' AND line_number LIKE '%' AND line_content LIKE 'setvar G\\_REF\\_RTL\\_2STAGE 1'))) AND ((1))) && (1)","waived as per wiki"
"8","FileNotEmpty","prbhatt","Wed Apr 11 09:54:26 PDT 2018","31 August 2018","1535698800","","expired","((((file_name LIKE 'scripts/block\\_setup.tcl' AND line_number LIKE '%' AND line_content LIKE 'setvar G\\_DONT\\_RUN\\_POLARIS 1'))) AND ((1))) && (1)","waived as per wiki"
"9","FileNotEmpty","prbhatt","Wed Apr 11 09:54:45 PDT 2018","31 August 2018","1535698800","","expired","((((file_name LIKE 'scripts/block\\_setup.tcl' AND line_number LIKE '%' AND line_content LIKE 'set G\\_FV\\_LP 0'))) AND ((1))) && (1)","waived as per wiki"
"10","FileNotEmpty","prbhatt","Wed Apr 11 09:55:05 PDT 2018","31 August 2018","1535698800","","expired","((((file_name LIKE 'scripts/block\\_setup.tcl' AND line_number LIKE '%' AND line_content LIKE 'set G\\_CONF\\_MAP\\_UNREACH 1'))) AND ((1))) && (1)","waived as per wiki"
"11","FileNotEmpty","prbhatt","Wed Apr 11 09:55:26 PDT 2018","30 September 2018","1538290800","","expired","((((file_name LIKE 'scripts/block\\_setup.tcl' AND line_number LIKE '%' AND line_content LIKE 'set G\\_CONF\\_COMPARE\\_EFFORT \"Auto\"'))) AND ((1))) && (1)","waived as per wiki"
