"id","query","user","given_date","exp_date","exp_seconds","valid_for_milestone","status","conditions","reason"
"1","FileNotEmpty","gprasann","Fri Apr 06 00:44:14 PDT 2018","23 November 2018","1542960000","","expired","((((file_name LIKE 'scripts/block\\_setup.tcl' AND line_number LIKE '%' AND line_content LIKE 'setvar G\\_REF\\_RTL\\_2STAGE 1') OR (file_name LIKE 'scripts/block\\_setup.tcl' AND line_number LIKE '%' AND line_content LIKE 'set G\\_COPY\\_VERILOG\\_FUNC\\_MODEL 1') OR (file_name LIKE 'scripts/block\\_setup.tcl' AND line_number LIKE '%' AND line_content LIKE 'setvar G\\_REF\\_RTL\\_LIST $env(WARD)/collateral/rtl/rtl\\_list\\_2stage.tcl') OR (file_name LIKE 'scripts/block\\_setup.tcl' AND line_number LIKE '%' AND line_content LIKE 'set G\\_FV\\_LP 0 ') OR (file_name LIKE 'scripts/block\\_setup.tcl' AND line_number LIKE '%' AND line_content LIKE 'lappend G\\_LEGAL\\_RTL\\_OWNERS \"toolshdk\"') OR (file_name LIKE 'scripts/block\\_setup.tcl' AND line_number LIKE '%' AND line_content LIKE 'set G\\_LIB\\_VERILOG\\_FORMAT \"-systemverilog\"') OR (file_name LIKE 'scripts/block\\_setup.tcl' AND line_number LIKE '%' AND line_content LIKE 'set G\\_CONF\\_COMPARE\\_EFFORT \"Auto\"') OR (file_name LIKE 'scripts/block\\_setup.tcl' AND line_number LIKE '%' AND line_content LIKE 'setvar G\\_DONT\\_RUN\\_POLARIS 1') OR (file_name LIKE 'scripts/block\\_setup.tcl' AND line_number LIKE '%' AND line_content LIKE 'set G\\_CONF\\_MAP\\_UNREACH 1'))) AND ((1))) && (1)","Testing flow flush"
"2","IllegalRTLfound","gprasann","Fri Apr 06 00:49:22 PDT 2018","27 July 2018","1532674800","","expired","((((message LIKE 'gprasann /nfs/sc/disks/sdg74\\_0963/gprasann/rcm\\_w3\\_fullFEBE/src/rtl/rcm/rcm\\_glue\\_logic.sv') OR (message LIKE 'gprasann /nfs/sc/disks/sdg74\\_0963/gprasann/rcm\\_w3\\_fullFEBE/src/rtl/rcm/rcm\\_slice.sv') OR (message LIKE 'gprasann /nfs/sc/disks/sdg74\\_0963/gprasann/rcm\\_w3\\_fullFEBE/src/rtl/rcm/rcm\\_stap\\_data\\_reg.sv') OR (message LIKE 'gprasann /nfs/sc/disks/sdg74\\_0963/gprasann/rcm\\_w3\\_fullFEBE/src/rtl/rcm\\_fabric\\_block/rcm\\_fabric\\_block.sv') OR (message LIKE 'gprasann /nfs/sc/disks/sdg74\\_0963/gprasann/rcm\\_w3\\_fullFEBE/subIP/globalclk/globalclk-srvr10nm-17ww43a\\_RTL0p0\\_MAIN.1/src/rtl/clk\\_rcb\\_lcb/rcm\\_gclk\\_make\\_clk\\_and\\_rcb\\_free\\_lcp4.sv') OR (message LIKE 'gprasann /nfs/sc/disks/sdg74\\_0963/gprasann/rcm\\_w3\\_fullFEBE/subIP/globalclk/globalclk-srvr10nm-17ww43a\\_RTL0p0\\_MAIN.1/src/rtl/clk\\_rcb\\_lcb/rcm\\_gclk\\_make\\_clk\\_and\\_rcb\\_nolat\\_ph1.sv') OR (message LIKE 'gprasann /nfs/sc/disks/sdg74\\_0963/gprasann/rcm\\_w3\\_fullFEBE/subIP/globalclk/globalclk-srvr10nm-17ww43a\\_RTL0p0\\_MAIN.1/src/rtl/clk\\_rcb\\_lcb/rcm\\_gclk\\_make\\_clk\\_and\\_rcb\\_nolat\\_ph1\\_lcp4.sv') OR (message LIKE 'gprasann /nfs/sc/disks/sdg74\\_0963/gprasann/rcm\\_w3\\_fullFEBE/subIP/globalclk/globalclk-srvr10nm-17ww43a\\_RTL0p0\\_MAIN.1/src/rtl/clk\\_rcb\\_lcb/rcm\\_gclk\\_make\\_clk\\_and\\_rcb\\_ph1.sv') OR (message LIKE 'gprasann /nfs/sc/disks/sdg74\\_0963/gprasann/rcm\\_w3\\_fullFEBE/subIP/globalclk/globalclk-srvr10nm-17ww43a\\_RTL0p0\\_MAIN.1/src/rtl/clk\\_rcb\\_lcb/rcm\\_gclk\\_make\\_clk\\_and\\_rcb\\_ph1\\_lcp4.sv') OR (message LIKE 'gprasann /nfs/sc/disks/sdg74\\_0963/gprasann/rcm\\_w3\\_fullFEBE/subIP/globalclk/globalclk-srvr10nm-17ww43a\\_RTL0p0\\_MAIN.1/src/rtl/clk\\_rcb\\_lcb/rcm\\_gclk\\_make\\_clk\\_and\\_rcb\\_ph2\\_b.sv') OR (message LIKE 'gprasann /nfs/sc/disks/sdg74\\_0963/gprasann/rcm\\_w3\\_fullFEBE/subIP/globalclk/globalclk-srvr10nm-17ww43a\\_RTL0p0\\_MAIN.1/src/rtl/clk\\_rcb\\_lcb/rcm\\_gclk\\_make\\_clk\\_and\\_rcb\\_ph2\\_b\\_lcp4.sv') OR (message LIKE 'gprasann /nfs/sc/disks/sdg74\\_0963/gprasann/rcm\\_w3\\_fullFEBE/subIP/globalclk/globalclk-srvr10nm-17ww43a\\_RTL0p0\\_MAIN.1/src/rtl/clk\\_rcb\\_lcb/rcm\\_gclk\\_make\\_clk\\_buf\\_rcb\\_ph1.sv') OR (message LIKE 'gprasann /nfs/sc/disks/sdg74\\_0963/gprasann/rcm\\_w3\\_fullFEBE/subIP/globalclk/globalclk-srvr10nm-17ww43a\\_RTL0p0\\_MAIN.1/src/rtl/clk\\_rcb\\_lcb/rcm\\_gclk\\_make\\_clk\\_buf\\_rcb\\_ph1\\_lcp4.sv') OR (message LIKE 'gprasann /nfs/sc/disks/sdg74\\_0963/gprasann/rcm\\_w3\\_fullFEBE/subIP/globalclk/globalclk-srvr10nm-17ww43a\\_RTL0p0\\_MAIN.1/src/rtl/clk\\_rcb\\_lcb/rcm\\_gclk\\_make\\_clk\\_rcb\\_lcb\\_ph1.sv') OR (message LIKE 'gprasann /nfs/sc/disks/sdg74\\_0963/gprasann/rcm\\_w3\\_fullFEBE/subIP/globalclk/globalclk-srvr10nm-17ww43a\\_RTL0p0\\_MAIN.1/src/rtl/clk\\_rcb\\_lcb/rcm\\_gclk\\_make\\_lcb\\_lcp\\_loc\\_and.sv') OR (message LIKE 'gprasann /nfs/sc/disks/sdg74\\_0963/gprasann/rcm\\_w3\\_fullFEBE/src/rtl/rcm/include/rcm\\_ctech\\_map.sv') OR (message LIKE 'gprasann /nfs/sc/disks/sdg74\\_0963/gprasann/rcm\\_w3\\_fullFEBE/subIP/globalclk/globalclk-srvr10nm-17ww43a\\_RTL0p0\\_MAIN.1/src/rtl/clk\\_rcb\\_lcb/rcm\\_gclk\\_rcb\\_lcb.sv') OR (message LIKE 'gprasann /nfs/sc/disks/sdg74\\_0963/gprasann/rcm\\_w3\\_fullFEBE/subIP/globalclk/globalclk-srvr10nm-17ww43a\\_RTL0p0\\_MAIN.1/src/rtl/clk\\_rcb\\_lcb/rcm\\_gclk\\_make\\_lcb\\_loc\\_and\\_ph2\\_b.sv') OR (message LIKE 'gprasann /nfs/sc/disks/sdg74\\_0963/gprasann/rcm\\_w3\\_fullFEBE/src/rtl/rcm/include/rcm\\_msff\\_async\\_rst.sv') OR (message LIKE 'gprasann /nfs/sc/disks/sdg74\\_0963/gprasann/rcm\\_w3\\_fullFEBE/src/rtl/rcm/rcm.vs'))) AND ((1))) && (1)","test flush"
"3","IllegalRTLfound","gprasann","Fri Apr 06 00:49:51 PDT 2018","14 June 2018","1528959600","","expired","((((message LIKE 'gprasann /nfs/sc/disks/sdg74\\_0963/gprasann/rcm\\_w3\\_fullFEBE/subIP/globalclk/globalclk-srvr10nm-17ww43a\\_RTL0p0\\_MAIN.1/src/rtl/clk\\_rcb\\_lcb/rcm\\_gclk\\_xyz\\_xover\\_tx.sv') OR (message LIKE 'gprasann /nfs/sc/disks/sdg74\\_0963/gprasann/rcm\\_w3\\_fullFEBE/subIP/globalclk/globalclk-srvr10nm-17ww43a\\_RTL0p0\\_MAIN.1/src/rtl/common/rcm\\_gclk\\_map.sv') OR (message LIKE 'gprasann /nfs/sc/disks/sdg74\\_0963/gprasann/rcm\\_w3\\_fullFEBE/target/rcm/aceroot/results/DC/rcm/collateral/rtl/rcm\\_cfg.sv') OR (message LIKE 'gprasann /nfs/sc/disks/sdg74\\_0963/gprasann/rcm\\_w3\\_fullFEBE/subIP/globalclk/globalclk-srvr10nm-17ww43a\\_RTL0p0\\_MAIN.1/src/rtl/clk\\_rcb\\_lcb/rcm\\_gclk\\_xyz\\_xover\\_clk.sv') OR (message LIKE 'gprasann /nfs/sc/disks/sdg74\\_0963/gprasann/rcm\\_w3\\_fullFEBE/subIP/globalclk/globalclk-srvr10nm-17ww43a\\_RTL0p0\\_MAIN.1/src/rtl/clk\\_rcb\\_lcb/rcm\\_gclk\\_xyz\\_xover\\_rx.sv'))) AND ((1))) && (1)","test fkush"
"4","CheckforLP","gprasann","Fri Apr 06 00:50:16 PDT 2018","19 April 2018","1524121200","","expired","((((message LIKE 'FEV is not being run with UPF'))) AND ((1))) && (1)","No UPF"
"5","Zmapped","gprasann","Fri Apr 06 00:50:51 PDT 2018","26 April 2018","1524726000","","expired","((((cell_name LIKE 'top\\_level' AND net_name LIKE '/rcm\\_ascan\\_sdo[0]') OR (cell_name LIKE 'top\\_level' AND net_name LIKE '/rcm\\_ascan\\_sdo[1]'))) AND ((1))) && (1)","scan waivers"
"6","FileNotEmpty","prbhatt","Tue Apr 10 19:55:03 PDT 2018","30 September 2018","1538290800","","expired","((((file_name LIKE 'scripts/block\\_setup.tcl' AND line_number LIKE '%' AND line_content LIKE 'set G\\_FV\\_LP 0'))) AND ((1))) && (1)","waived as per wiki"
"7","IllegalRTLfound","prbhatt","Tue Apr 10 19:55:42 PDT 2018","31 August 2018","1535698800","","expired","((((message LIKE 'prbhatt /nfs/sc/disks/sdg74\\_1661/prbhatt/gclk-ww15/src/rtl/clkdist/gclk\\_divsync\\_gen.sv'))) AND ((1))) && (1)","waived as per wiki"
"8","IllegalRTLfound","prbhatt","Tue Apr 10 19:56:12 PDT 2018","31 August 2018","1535698800","","expired","((((message LIKE 'prbhatt /nfs/sc/disks/sdg74\\_1661/prbhatt/gclk-ww15/src/rtl/common/gclk\\_map.sv'))) AND ((1))) && (1)","waived as per wiki"
"9","IllegalRTLfound","prbhatt","Tue Apr 10 19:56:47 PDT 2018","31 August 2018","1535698800","","expired","((((message LIKE 'prbhatt /nfs/sc/disks/sdg74\\_1661/prbhatt/gclk-ww15/src/rtl/clk\\_rcb\\_lcb/gclk\\_make\\_lcb\\_loc\\_and.sv'))) AND ((1))) && (1)","waived as per wiki"
"10","IllegalRTLfound","prbhatt","Tue Apr 10 19:57:20 PDT 2018","31 August 2018","1535698800","","expired","((((message LIKE 'prbhatt /nfs/sc/disks/sdg74\\_1661/prbhatt/gclk-ww15/src/rtl/clkdist/gclk\\_psyncdist.sv'))) AND ((1))) && (1)","waived as per wiki"
